taxon_name,habitat,source_id
Acacia dealbata,alpine forest_closed forest_dry_sclerophyll forest_eucalypt forest_open forest_wet forest_wet_sclerophyll grassland rainforest woodland,Bloomfield_2018; Clarke_2009; Clarke_2015; Morgan_2011_1; Prior_2016; Prior_2022; Richards_2008; Rosell_2014; Tng_2013; Wright_2006
Eucalyptus camaldulensis,alpine forest_dry grassland heath woodland,Bloomfield_2018; Clarke_2015; Jurado_1991; Morgan_2011_1; Rumman_2018; Santini_2016; Schmidt_2003; Schulze_2014; Yunusa_2010
Leptospermum lanigerum,alpine forest_eucalypt forest_wet forest_wet_sclerophyll grassland heath rainforest,Bloomfield_2018; Clarke_2015; Fonseca_2000; Prior_2022; Rumman_2018; Tng_2013; Westoby_2004
Vittadinia gracilis,alpine grassland woodland,Briggs_2010; Morgan_2011_1; Morgan_2011_2
Diselma archeri,alpine,Brodribb_2000
Leptospermum rupestre,alpine heath,Brodribb_2000; Westoby_2004
Podocarpus lawrencei,alpine bog heath rainforest,Brodribb_2000; Cooper_2013; Morgan_2014; Pickering_2014
Acacia verniciflua,alpine forest_eucalypt grassland rainforest woodland,Burrows_2001; Clarke_2015; Morgan_2011_1; Tng_2013
Allocasuarina verticillata,alpine forest_dry_sclerophyll forest_eucalypt forest_open heath shrubland woodland,Burrows_2001; Clarke_2015; Morgan_2011_1; Nicholson_2017; Prior_2016; SmithMartin_2020
Astroloma humifusum,alpine forest_eucalypt grassland rainforest woodland,Burrows_2001; Clarke_2015; Morgan_2011_1; Tng_2013
Brachyloma daphnoides,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll heath rainforest shrubland woodland,Burrows_2001; Clarke_2009; Clarke_2015; Fonseca_2000; Kubiak_2009; Leishman_1993; Leishman_1995; Morgan_2011_1
Dianella revoluta,alpine bog forest_dry_sclerophyll heath shrubland woodland,Burrows_2001; Cross_2009; Fonseca_2000; Gosper_2012; Kubiak_2009; Morgan_2011_1
Dodonaea viscosa subsp. cuneata,alpine forest_eucalypt shrubland woodland,Burrows_2001; Clarke_2015; Fonseca_2000; Hughes_2005; Morgan_2011_1; Pickup_2005; Vesk_2004; Vesk_2019; Westoby_2014; Wright_2002
Lomandra filiformis,alpine forest_dry_sclerophyll forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Burrows_2001; Fonseca_2000; Leishman_1993; Leishman_1995; Mokany_2008; Morgan_2011_1
Muellerina eucalyptoides,alpine bog forest_dry_sclerophyll forest_eucalypt rainforest shrubland woodland,Burrows_2001; Clarke_2015; Kubiak_2009; Morgan_2011_1; Richards_2021
Indigofera australis,alpine forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll heath rainforest woodland,Campbell_2006; Clarke_2009; Clarke_2015; Morgan_2011_1
Pittosporum undulatum,alpine bog forest_closed forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll heath rainforest shrubland woodland,Campbell_2006; Clarke_2009; Clarke_2015; Cooper_2013; Fonseca_2000; Kotowska_2020; Kubiak_2009; Leishman_1993; Leishman_1995; Morgan_2011_1; RadfordSmith_2024; Westoby_2004; Wright_2009
Acrothamnus hookeri,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Campbell_2006; Clarke_2009; Clarke_2015; Tolsma_2007; Vesk_2007
Acacia gunnii,alpine forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll rainforest woodland,Clarke_2009; Clarke_2015; Morgan_2011_1
Allocasuarina torulosa,alpine bog forest_dry forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll heath rainforest shrubland woodland,Clarke_2009; Clarke_2015; Cooper_2013; Fonseca_2000; Kubiak_2009; Laxton_2005; Leishman_1993; Leishman_1995; Morgan_2011_1; Rosell_2014; Westoby_2014; Williams_2012; Zieminska_2013
Banksia marginata,alpine bog forest_dry_sclerophyll forest_eucalypt forest_open forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Clarke_2009; Clarke_2015; Edwards_2000; Falster_2003; French_2017; Grootemaat_2015; Groves_1986; Henery_2001; Jordan_2007; Jordan_2015; Jordan_2020; Kubiak_2009; Leishman_1993; Leishman_1995; Morgan_2011_1; Nicholson_2017; Niinemets_2009; Peeters_2002; Prior_2016; Rosell_2014; Tng_2013; Wright_2002; Wright_2009; Zieminska_2013
Bossiaea prostrata,alpine forest_eucalypt forest_wet_sclerophyll grassland rainforest woodland,Clarke_2009; Clarke_2015; Morgan_2011_1; Morgan_2011_2
Bursaria spinosa subsp. spinosa,alpine forest_eucalypt forest_wet_sclerophyll rainforest woodland,Clarke_2009; Clarke_2015; Morgan_2011_1
Daviesia latifolia,alpine forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll rainforest woodland,Clarke_2009; Clarke_2015; Morgan_2011_1; Rosell_2014; Zieminska_2013
Exocarpos cupressiformis,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll heath rainforest shrubland woodland,Clarke_2009; Clarke_2015; Fonseca_2000; Kubiak_2009; Morgan_2011_1; Rosell_2014; Westoby_2014
Hibbertia riparia,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Clarke_2009; Clarke_2015; Fonseca_2000; Kubiak_2009; Leishman_1993; Leishman_1995; Morgan_2011_1; Tng_2013
Leucopogon virgatus,alpine forest_dry_sclerophyll forest_wet_sclerophyll heath rainforest woodland,Clarke_2009; Clarke_2015; Morgan_2011_1; Schmidt_1997
Lissanthe strigosa subsp. subulata,alpine forest_dry_sclerophyll forest_wet_sclerophyll heath rainforest woodland,Clarke_2009; Kubiak_2009; Morgan_2011_1
Epacris gunnii,alpine forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll grassland heath rainforest shrubland,Clarke_2009; Clarke_2015; Tolsma_2007
Olearia phlogopappa,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll grassland heath rainforest shrubland,Clarke_2009; Clarke_2015; Tolsma_2007
Bauera rubioides,alpine bog forest_dry_sclerophyll forest_wet_sclerophyll heath rainforest shrubland woodland,Clarke_2009; Clarke_2015; Kubiak_2009; Leishman_1993; Leishman_1995; Westoby_2004
Acrothamnus montanus,alpine bog grassland heath,Clarke_2015; Lim_2017; Morgan_2014; Pickering_2014
Asterolasia trymalioides,alpine bog grassland heath,Clarke_2015; Lim_2017; Vesk_2007
Grevillea australis,alpine bog grassland heath shrubland,Clarke_2015; Jordan_2015; Lim_2017; Lunt_2012; Pickering_2014; Tolsma_2007; Vesk_2007
Kunzea muelleri,alpine bog grassland heath,Clarke_2015; Lim_2017; Pickering_2014
Orites lancifolius,alpine bog grassland heath,Clarke_2015; Lim_2017; Pickering_2014; Vesk_2007
Phebalium squamulosum,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Clarke_2015; Fonseca_2000; Leishman_1993; Leishman_1995; Lim_2017; Thomas_2017; Vesk_2007
Prostanthera cuneata,alpine bog grassland heath,Clarke_2015; Lim_2017; Pickering_2014; Vesk_2007
Enchylaena tomentosa,alpine bog grassland shrubland woodland,Clarke_2015; Dwyer_2017; Fonseca_2000; Jurado_1991; Lunt_2012; Moles_2003; Stewart_1995; Tsakalos_2020; Vesk_2004; Vesk_2019
Maireana brevifolia,alpine bog shrubland woodland,Clarke_2015; Fonseca_2000; Lunt_2012; Tsakalos_2020
Pimelea curviflora,alpine bog forest_eucalypt grassland woodland,Clarke_2015; Lunt_2012; Morgan_2011_1; Morgan_2011_2
Pimelea glauca,alpine bog grassland woodland,Clarke_2015; Lunt_2012; Morgan_2011_1; Morgan_2011_2
Pimelea humilis,alpine bog forest_eucalypt woodland,Clarke_2015; Lunt_2012; Morgan_2011_1
Cullen microcephalum,alpine bog forest_eucalypt,Clarke_2015; Lunt_2012
Cullen tenax,alpine bog grassland,Clarke_2015; Lunt_2012
Sida corrugata,alpine bog grassland shrubland woodland,Clarke_2015; Fonseca_2000; Lunt_2012
Acacia baileyana,alpine bog forest_dry_sclerophyll forest_eucalypt shrubland woodland,Clarke_2015; Kubiak_2009; Morgan_2011_1
Acacia hakeoides,alpine forest_eucalypt shrubland woodland,Clarke_2015; Fonseca_2000; Morgan_2011_1; Pickup_2005
Acacia longifolia,alpine heath woodland,Clarke_2015; Morgan_2011_1
Acacia mearnsii,alpine forest_dry_sclerophyll forest_eucalypt grassland woodland,Clarke_2015; Morgan_2011_1; Morgan_2011_2; SmithMartin_2020
Acacia paradoxa,alpine forest_eucalypt shrubland woodland,Clarke_2015; Fonseca_2000; Morgan_2011_1
Acacia spinescens,alpine shrubland woodland,Clarke_2015; Morgan_2011_1
Acacia verticillata,alpine forest_closed heath rainforest shrubland woodland,Clarke_2015; Morgan_2011_1; Nicholson_2017; Wright_2006
Acrotriche serrulata,alpine forest_eucalypt woodland,Clarke_2015; Morgan_2011_1
Allocasuarina luehmannii,alpine forest_eucalypt grassland woodland,Clarke_2015; Morgan_2011_1; Schmidt_2010
Amyema pendula,alpine forest_eucalypt rainforest shrubland woodland,Clarke_2015; Morgan_2011_1; Richards_2021
Stenanthera conostephioides,alpine heath shrubland woodland,Clarke_2015; Morgan_2011_1
Casuarina glauca,alpine bog forest_dry_sclerophyll forest_eucalypt heath shrubland woodland,Clarke_2015; Kubiak_2009; Morgan_2011_1
Clematis microphylla,alpine forest_eucalypt grassland woodland,Clarke_2015; Morgan_2011_1; Morgan_2011_2
Corymbia maculata,alpine forest_dry_sclerophyll forest_eucalypt rainforest woodland,Clarke_2015; Grootemaat_2017_1; Moles_2011; Morgan_2011_1; Portelli_2023
Daviesia brevifolia,alpine heath woodland,Clarke_2015; Morgan_2011_1
Dillwynia hispida,alpine shrubland woodland,Clarke_2015; Morgan_2011_1
Einadia nutans subsp. nutans,alpine grassland shrubland woodland,Clarke_2015; Morgan_2011_1; Morgan_2011_2
Eucalyptus leucoxylon,alpine shrubland woodland,Clarke_2015; Morgan_2011_1; Richards_2021
Eucalyptus ovata,alpine forest_eucalypt woodland,Clarke_2015; Morgan_2011_1
Eucalyptus viminalis,alpine forest_eucalypt forest_open grassland rainforest woodland,Clarke_2015; Fonseca_2000; Morgan_2011_1; Prior_2016; Richards_2021; Tng_2013
Grevillea aquifolium,alpine heath shrubland woodland,Clarke_2015; Jordan_2020; Morgan_2011_1
Grevillea rosmarinifolia,alpine shrubland woodland,Clarke_2015; Morgan_2011_1
Isopogon ceratophyllus,alpine forest_dry_sclerophyll forest_wet_sclerophyll heath woodland,Clarke_2015; Jordan_2015; Jordan_2020; Morgan_2011_1
Kennedia prostrata,alpine heath shrubland woodland,Clarke_2015; Cross_2009; Funk_2016; Harvey_2017; Morgan_2011_1; Pate_1990; Tsakalos_2020
Leptospermum continentale,alpine shrubland woodland,Clarke_2015; Morgan_2011_1
Leptospermum myrsinoides,alpine heath woodland,Clarke_2015; Morgan_2011_1
Leptospermum obovatum,alpine forest_eucalypt heath woodland,Clarke_2015; Fonseca_2000; Morgan_2011_1
Melaleuca ericifolia,alpine forest_eucalypt heath shrubland woodland,Clarke_2015; Morgan_2011_1; Nicholson_2017
Melaleuca hypericifolia,alpine bog forest_dry_sclerophyll forest_eucalypt shrubland woodland,Clarke_2015; Kubiak_2009; Morgan_2011_1
Melicytus dentatus,alpine forest_eucalypt rainforest woodland,Clarke_2015; Cooper_2013; Fonseca_2000; Morgan_2011_1
Opercularia varia,alpine bog forest_dry_sclerophyll forest_eucalypt shrubland woodland,Clarke_2015; Kubiak_2009; Morgan_2011_1
Ozothamnus ferrugineus,alpine forest_closed forest_eucalypt woodland,Clarke_2015; Morgan_2011_1; Wright_2006
Platylobium obtusangulum,alpine forest_open heath rainforest woodland,Clarke_2015; Edwards_2000; Morgan_2011_1
Ptilotus macrocephalus,alpine grassland woodland,Clarke_2015; Jurado_1991; Morgan_2011_1; Morgan_2011_2
Rubus anglocandicans,alpine bog forest_dry_sclerophyll forest_eucalypt shrubland woodland,Clarke_2015; Kubiak_2009; Morgan_2011_1
Tetratheca ciliata,alpine forest_eucalypt heath woodland,Clarke_2015; Morgan_2011_1
Tricoryne elatior,alpine grassland heath shrubland woodland,Clarke_2015; Cross_2009; Gosper_2012; Harvey_2017; Mokany_2008; Morgan_2011_1; Tsakalos_2020
Baeckea utilis,alpine forest_eucalypt heath,Clarke_2015; Pickering_2014
Epacris microphylla,alpine bog forest_dry_sclerophyll forest_eucalypt forest_wet_sclerophyll heath rainforest shrubland woodland,Clarke_2015; Jagdish_2020; Kubiak_2009; Leishman_1993; Leishman_1995; Moles_2011; Morgan_2014; Pickering_2014
Epacris paludosa,alpine forest_eucalypt heath,Clarke_2015; Pickering_2014
Epacris petrophila,alpine heath,Clarke_2015; Pickering_2014
Hovea montana,alpine bog grassland heath shrubland,Clarke_2015; Pickering_2014; Tolsma_2007; Vesk_2007
Olearia algida,alpine heath,Clarke_2015; Pickering_2014
Olearia phlogopappa subsp. flavescens,alpine heath,Clarke_2015; Pickering_2014
Oxylobium ellipticum,alpine heath,Clarke_2015; Pickering_2014; Westoby_2004
Ozothamnus secundiflorus,alpine bog grassland heath,Clarke_2015; Pickering_2014; Vesk_2007
Ozothamnus cupressoides,alpine heath,Clarke_2015; Pickering_2014
Nematolepis ovatifolia,alpine heath,Clarke_2015; Pickering_2014
Pimelea alpina,alpine bog grassland heath shrubland,Clarke_2015; Pickering_2014; Tolsma_2007; Vesk_2007
Pimelea ligustrina subsp. ciliata,alpine heath,Clarke_2015; Pickering_2014
Eucalyptus pauciflora,alpine bog forest_eucalypt grassland heath woodland,Clarke_2015; Roderick_1999; Vesk_2007
Goodenia hederacea,alpine bog forest_dry_sclerophyll forest_eucalypt grassland heath shrubland woodland,Clarke_2015; Kubiak_2009; Mokany_2008; Tolsma_2007
Bossiaea foliosa,alpine bog forest_eucalypt grassland heath,Clarke_2015; Vesk_2007
Leionema phylicifolium,alpine bog forest_eucalypt grassland heath,Clarke_2015; Vesk_2007
Pimelea ligustrina,alpine bog grassland heath rainforest,Clarke_2015; Vesk_2007
Podolobium alpestre,alpine bog grassland heath,Clarke_2015; Vesk_2007
Tasmannia xerophila,alpine bog grassland heath,Clarke_2015; Vesk_2007
Drosera auriculata,alpine bog forest_dry_sclerophyll heath rainforest shrubland woodland,Cooper_2013; Kubiak_2009; Morgan_2011_1
Viola hederacea,alpine bog forest_dry_sclerophyll forest_wet_sclerophyll heath rainforest shrubland woodland,Cooper_2013; Cross_2009; Fonseca_2000; Kubiak_2009; Leishman_1993; Leishman_1995; Morgan_2011_1; Pickering_2014
Isolepis cernua,alpine aquatic bog forest_dry_sclerophyll shrubland woodland,Cross_2009; Kubiak_2009; Morgan_2011_1; RBGV_2022; Tsakalos_2020
Eleocharis acuta,alpine aquatic woodland,Cross_2009; Morgan_2011_1; Williams_2011
Carex breviculmis,alpine bog forest_dry_sclerophyll forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Cross_2009; Firn_2019; Leishman_1993; Leishman_1995; Lunt_2012; Morgan_2011_1; Morgan_2011_2; Morgan_2014; Pickering_2014; Venn_2011
Acaena echinata,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Arthropodium strictum,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Asperula conferta,alpine bog grassland woodland,Cross_2009; Lunt_2012; Mokany_2008; Morgan_2011_1
Brunonia australis,alpine bog woodland,Cross_2009; Dwyer_2017; Fonseca_2000; Lunt_2012; Morgan_2011_1
Bulbine bulbosa,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Burchardia umbellata,alpine bog forest_dry_sclerophyll forest_wet_sclerophyll grassland heath rainforest shrubland woodland,Cross_2009; Kubiak_2009; Leishman_1993; Leishman_1995; Lunt_2012; Morgan_2011_1; Morgan_2011_2
Caesia calliantha,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Chrysocephalum apiculatum,alpine bog grassland shrubland woodland,Cross_2009; Fonseca_2000; Jurado_1991; Lunt_2012; Moles_2003; Morgan_2011_1; Morgan_2011_2; Wright_2002
Convolvulus erubescens,alpine bog grassland woodland,Cross_2009; Jurado_1991; Lunt_2012; Mokany_2008; Morgan_2011_1
Dichondra repens,alpine bog forest_dry_sclerophyll forest_wet_sclerophyll heath rainforest shrubland woodland,Cross_2009; Leishman_1993; Leishman_1995; Lunt_2012; Morgan_2011_1
Anthosachne scabra,alpine bog grassland woodland,Cross_2009; Lunt_2012; Mokany_2008; Morgan_2011_1
Geranium solanderi,alpine bog grassland rainforest woodland,Cross_2009; Lunt_2012; Mokany_2008; Morgan_2011_1; Stewart_1995
Haloragis heterophylla,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Hypericum gramineum,alpine bog forest_dry_sclerophyll grassland shrubland woodland,Cross_2009; Jurado_1991; Kubiak_2009; Lunt_2012; Mokany_2008; Morgan_2011_1
Leptorhynchos squamatus,alpine bog grassland heath shrubland woodland,Cross_2009; Lunt_2012; Morgan_2011_2; Morgan_2014; Pickering_2014; Tolsma_2007; Venn_2011
Pelargonium rodneyanum,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Poa labillardierei,alpine bog grassland woodland,Cross_2009; Lunt_2012; Mokany_2008; Morgan_2011_1
Schoenus apogon,alpine bog forest_dry_sclerophyll heath shrubland woodland,Cross_2009; Kubiak_2009; Lunt_2012; Morgan_2011_1
Senecio quadridentatus,alpine bog woodland,Cross_2009; Lunt_2012; Morgan_2011_1
Stylidium graminifolium,alpine bog forest_dry_sclerophyll grassland heath shrubland woodland,Cross_2009; Kubiak_2009; Lunt_2012; Morgan_2011_1; Pickering_2014; Tolsma_2007; Vesk_2007
Themeda triandra,alpine bog forest_dry_sclerophyll grassland heath shrubland woodland,Cross_2009; Kubiak_2009; Lord_1997; Lunt_2012; Mokany_2008; Moles_2011; Morgan_2011_1; Morgan_2011_2; Schmidt_2010; Vesk_2004; Vesk_2019
Wurmbea dioica,alpine bog grassland woodland,Cross_2009; Lunt_2012; Mokany_2008; Morgan_2011_1
Acaena novae-zelandiae,alpine bog grassland heath shrubland woodland,Cross_2009; Morgan_2011_1; Tolsma_2007; Vesk_2007
Austrostipa semibarbata,alpine shrubland woodland,Cross_2009; Morgan_2011_1; Tsakalos_2020
Hackelia suaveolens,alpine woodland,Cross_2009; Morgan_2011_1
Dichelachne crinita,alpine bog forest_dry_sclerophyll grassland heath shrubland woodland,Cross_2009; Kubiak_2009; Mokany_2008; Morgan_2011_1
Eryngium vesiculosum,alpine woodland,Cross_2009; Morgan_2011_1
Euchiton japonicus,alpine woodland,Cross_2009; Morgan_2011_1
Gonocarpus tetragynus,alpine grassland heath heath_wet woodland,Cross_2009; Mokany_2008; Morgan_2011_1; Taseski_2017
Goodenia blackiana,alpine woodland,Cross_2009; Morgan_2011_1
Goodenia geniculata,alpine woodland,Cross_2009; Morgan_2011_1
Goodenia humilis,alpine woodland,Cross_2009; Morgan_2011_1
Goodenia pinnatifida,alpine woodland,Cross_2009; Morgan_2011_1
Hydrocotyle laxiflora,alpine grassland woodland,Cross_2009; Mokany_2008; Morgan_2011_1
Lachnagrostis filiformis,alpine woodland,Cross_2009; Morgan_2011_1
Lobelia pratioides,alpine woodland,Cross_2009; Morgan_2011_1
Lythrum hyssopifolia,alpine grassland woodland,Cross_2009; Morgan_2011_1; Morgan_2011_2
Opercularia ovata,alpine woodland,Cross_2009; Morgan_2011_1
Rumex brownii,alpine bog forest_dry_sclerophyll shrubland woodland,Cross_2009; Kubiak_2009; Morgan_2011_1
Actinobole uliginosum,alpine bog grassland shrubland woodland,Dwyer_2017; Firn_2019; Fonseca_2000; Lunt_2012
Blennospora drummondii,alpine bog shrubland woodland,Dwyer_2017; Lunt_2012; Tsakalos_2020
Brachyscome perpusilla,alpine bog woodland,Dwyer_2017; Lunt_2012
Calandrinia granulifera,alpine bog shrubland woodland,Dwyer_2017; Lunt_2012; Tsakalos_2020
Daucus glochidiatus,alpine bog grassland shrubland woodland,Dwyer_2017; Fonseca_2000; Lunt_2012; Mokany_2008; Morgan_2011_1; Tsakalos_2020
Goodenia pusilliflora,alpine bog woodland,Dwyer_2017; Lunt_2012
Hyalosperma demissum,alpine bog shrubland woodland,Dwyer_2017; Lunt_2012; Morgan_2011_1; Tsakalos_2020
Millotia tenuifolia,alpine bog woodland,Dwyer_2017; Lunt_2012
Podotheca angustifolia,alpine bog shrubland woodland,Dwyer_2017; Lunt_2012; Tsakalos_2020
Pogonolepis muelleriana,alpine bog woodland,Dwyer_2017; Lunt_2012
Ptilotus spathulatus,alpine bog shrubland woodland,Dwyer_2017; Lunt_2012; Tsakalos_2020
Quinetia urvillei,alpine bog shrubland woodland,Dwyer_2017; Lunt_2012; Tsakalos_2020
Rhodanthe pygmaea,alpine bog grassland woodland,Dwyer_2017; Lunt_2012; Roberts_2006
Stackhousia monogyna,alpine bog grassland heath shrubland woodland,Dwyer_2017; Harvey_2017; Lunt_2012; Morgan_2011_1; Tolsma_2007; Tsakalos_2020
Rytidosperma caespitosum,alpine grassland shrubland woodland,Dwyer_2017; Fonseca_2000; Mokany_2008; Morgan_2011_1; Tsakalos_2020; Vesk_2004; Vesk_2019
Centrolepis aristata,alpine shrubland woodland,Dwyer_2017; Morgan_2011_1; Tsakalos_2020
Cheilanthes austrotenuifolia,alpine grassland shrubland woodland,Dwyer_2017; Mokany_2008; Morgan_2011_1; Tsakalos_2020
Crassula closiana,alpine shrubland woodland,Dwyer_2017; Morgan_2011_1; Tsakalos_2020
Drosera glanduligera,alpine shrubland woodland,Dwyer_2017; Harvey_2017; Morgan_2011_1; Tsakalos_2020
Levenhookia dubia,alpine shrubland woodland,Dwyer_2017; Morgan_2011_1; Tsakalos_2020
Millotia myosotidifolia,alpine shrubland woodland,Dwyer_2017; Morgan_2011_1; Tsakalos_2020
Polycarpon tetraphyllum,alpine bog forest_dry_sclerophyll shrubland woodland,Dwyer_2017; Kubiak_2009; Morgan_2011_1; Tsakalos_2020
Wahlenbergia gracilenta,alpine shrubland woodland,Dwyer_2017; Morgan_2011_1; Tsakalos_2020
Celmisia pugioniformis,alpine bog grassland heath shrubland,Firn_2019; Morgan_2014; Tolsma_2007; Vesk_2007
Oreomyrrhis eriopoda,alpine bog grassland heath shrubland woodland,Firn_2019; Morgan_2011_1; Morgan_2014; Pickering_2014; Tolsma_2007; Venn_2011
Colobanthus affinis,alpine grassland,Firn_2019
Craspedia aurantia var. jamesii,alpine bog grassland heath shrubland,Firn_2019; Lunt_2012; Tolsma_2007
Hypochaeris radicata,alpine bog forest_dry_sclerophyll grassland shrubland woodland,Firn_2019; Kubiak_2009; Mokany_2008
Plantago euryphylla,alpine bog grassland heath shrubland,Firn_2019; Lunt_2012; Morgan_2014; Pickering_2014; Tolsma_2007; Vesk_2007
Poa hiemata,alpine bog grassland heath,Firn_2019; Morgan_2014; Pickering_2014; Venn_2011; Vesk_2007
Poa hothamensis,alpine grassland,Firn_2019
Rumex acetosella,alpine grassland shrubland woodland,Firn_2019; Mokany_2008; Morgan_2011_1; Tsakalos_2020; Venn_2011
Rytidosperma nudiflorum,alpine bog grassland,Firn_2019; Lunt_2012; Morgan_2014; Pickering_2014; Venn_2011
Trachymene humilis subsp. breviscapa,alpine grassland,Firn_2019
Trisetum spicatum subsp. australiense,alpine bog grassland,Firn_2019; Morgan_2014; Pickering_2014; Venn_2011
Arthropodium minus,alpine bog grassland shrubland woodland,Fonseca_2000; Lunt_2012; Morgan_2011_1; Morgan_2011_2
Dianella longifolia,alpine bog woodland,Fonseca_2000; Lunt_2012
Lepidium hyssopifolium,alpine bog shrubland,Fonseca_2000; Lunt_2012
Myriocephalus rhizocephalus,alpine bog shrubland,Fonseca_2000; Lunt_2012
Vittadinia cuneata,alpine bog grassland shrubland woodland,Fonseca_2000; Lunt_2012; Roberts_2006; Vesk_2004; Vesk_2019
